32	1226+023 	9 	 	f	58	2006.455 	1.097 	  	7.85	230.8 	1.69 	1.00 	53	Y
33	1226+023 	9 	 	f	58	2006.474 	1.264 	  	7.87	230.9 	1.71 	1.00 	53	Y
34	1226+023 	9 	 	f	58	2006.674 	1.158 	  	8.12	231.7 	1.80 	1.00 	53	Y
35	1226+023 	9 	 	f	58	2006.923 	0.942 	  	8.42	232.2 	1.79 	1.00 	53	Y
36	1226+023 	9 	 	f	58	2007.016 	0.685 	  	8.56	233.2 	1.79 	1.00 	53	Y
37	1226+023 	9 	 	f	58	2007.167 	0.891 	  	8.87	233.7 	1.80 	1.00 	53	Y
# 38	1226+023 	9	a	f	58	2007.296 	0.979 	  	8.99	233.3 	2.14 	1.00 	53 	 
# 39	1226+023 	9	a	f	58	2007.416 	0.452 	  	9.48	233.5 	0.70 	1.00 	53 	 
# 40	1226+023 	9	a	f	58	2007.647 	0.615 	  	9.47	233.9 	1.35 	1.00 	53 	 
# 41	1226+023 	9	a	f	58	2007.682 	0.463 	  	9.85	235.4 	0.44 	1.00 	53 	 
42	1226+023 	9 	 	f	58	2008.334 	1.234 	  	9.64	237.1 	3.03 	1.00 	53	Y
43	1226+023 	9 	 	f	58	2008.545 	1.217 	 	10.04	237.4 	3.18 	1.00 	53	Y
44	1226+023 	9 	 	f	58	2008.600 	0.738 	 	10.32	237.6 	2.67 	1.00 	53	Y
45	1226+023 	9 	 	f	58	2008.701 	1.035 	 	10.41	237.1 	2.77 	1.00 	53	Y
46	1226+023 	9 	 	f	58	2008.888 	1.103 	 	10.58	237.8 	2.95 	1.00 	53	Y
47	1226+023 	9 	 	f	58	2009.082 	1.089 	 	10.89	237.7 	3.14 	1.00 	53	Y
48	1226+023 	9 	 	f	58	2009.099 	1.052 	 	10.82	238.0 	2.81 	1.00 	53	Y
49	1226+023 	9 	 	f	58	2009.230 	0.916 	 	11.03	238.0 	2.95 	1.00 	53	Y
50	1226+023 	9 	 	f	58	2009.405 	0.992 	 	11.38	238.6 	2.80 	1.00 	53	Y
51	1226+023 	9 	 	f	58	2009.482 	0.874 	 	11.18	239.2 	3.02 	1.00 	53	Y
52	1226+023 	9 	 	f	58	2009.559 	1.001 	 	11.54	239.0 	2.86 	1.00 	53	Y
53	1226+023 	9 	 	f	58	2009.658 	0.634 	 	11.94	238.4 	2.30 	1.00 	53	Y
54	1226+023 	9 	 	f	58	2009.816 	0.791 	 	11.88	238.9 	2.60 	1.00 	53	Y
55	1226+023 	9 	 	f	58	2009.929 	0.960 	 	11.75	239.5 	2.92 	1.00 	53	Y
56	1226+023 	9 	 	f	58	2010.071 	1.072 	 	11.82	238.6 	3.17 	1.00 	53	Y
57	1226+023 	9 	 	f	58	2010.466 	0.929 	 	12.66	239.5 	2.49 	1.00 	53	Y
58	1226+023 	9 	 	f	58	2010.822 	0.850 	 	13.39	239.3 	2.16 	1.00 	53	Y
