1	1226+023 	9 	 	f	58	1998.836	19.019 	  	1.00	232.9 	0.25 	1.00 	22	Y
2	1226+023 	9 	 	f	58	1999.258	14.405 	  	1.10	233.2 	0.27 	1.00 	22	Y
3	1226+023 	9 	 	f	58	1999.373	11.963 	  	1.20	232.8 	0.26 	1.00 	22	Y
4	1226+023 	9 	 	f	58	1999.386 	9.893 	  	1.18	232.8 	0.23 	1.00 	22	Y
5	1226+023 	9 	 	f	58	1999.740 	9.714 	  	1.30	233.1 	0.40 	1.00 	22	Y
6	1226+023 	9 	 	f	58	1999.849 	7.577 	  	1.41	234.2 	0.41 	1.00 	22	Y
7	1226+023 	9 	 	f	58	2000.038 	6.290 	  	1.71	233.5 	0.55 	1.00 	22	Y
8	1226+023 	9 	 	f	58	2000.074 	5.405 	  	1.74	232.4 	0.55 	1.00 	22	Y
9	1226+023 	9 	 	f	58	2000.329 	4.951 	  	1.78	234.9 	0.60 	1.00 	22	Y
10	1226+023 	9 	 	f	58	2000.614 	3.232 	  	2.10	235.1 	0.59 	1.00 	22	Y
11	1226+023 	9 	 	f	58	2001.203 	1.039 	  	2.83	228.0 	0.53 	1.00 	22	Y
12	1226+023 	9 	 	f	58	2001.995 	1.186 	  	4.07	226.3 	0.37 	1.00 	22	Y
13	1226+023 	9 	 	f	58	2002.252 	1.056 	  	4.43	225.8 	0.44 	1.00 	22	Y
14	1226+023 	9 	 	f	58	2002.740 	1.449 	  	4.54	228.4 	0.70 	1.00 	22	Y
15	1226+023 	9 	 	f	58	2002.773 	1.178 	  	4.69	227.8 	0.55 	1.00 	22	Y
16	1226+023 	9 	 	f	58	2002.956 	1.125 	  	4.86	228.8 	0.67 	1.00 	22	Y
17	1226+023 	9 	 	f	58	2003.162 	1.192 	  	4.86	228.0 	0.93 	1.00 	53	Y
18	1226+023 	9 	 	f	58	2003.342 	1.314 	  	5.02	228.7 	1.04 	1.00 	53	Y
19	1226+023 	9 	 	f	58	2003.501 	1.006 	  	5.14	229.0 	1.00 	1.00 	53	Y
20	1226+023 	9 	 	f	58	2003.507 	1.259 	  	5.03	230.3 	1.11 	1.00 	53	Y
21	1226+023 	9 	 	f	58	2003.526 	0.960 	  	4.99	229.5 	1.03 	1.00 	53	Y
22	1226+023 	9 	 	f	58	2003.658 	1.064 	  	5.16	229.5 	1.00 	1.00 	53	Y
23	1226+023 	9 	 	f	58	2003.685 	1.166 	  	5.15	228.8 	1.05 	1.00 	53	Y
24	1226+023 	9 	 	f	58	2003.896 	1.038 	  	5.44	229.7 	1.16 	1.00 	53	Y
25	1226+023 	9 	 	f	58	2004.447 	1.134 	  	5.83	229.5 	1.21 	1.00 	53	Y
26	1226+023 	9 	 	f	58	2004.699 	1.174 	  	6.26	229.6 	1.37 	1.00 	53	Y
27	1226+023 	9 	 	f	58	2004.923 	1.471 	  	6.24	230.1 	1.71 	1.00 	53	Y
28	1226+023 	9 	 	f	58	2005.381 	1.600 	  	6.73	229.9 	1.88 	1.00 	53	Y
29	1226+023 	9 	 	f	58	2005.710 	1.604 	  	7.12	229.8 	1.71 	1.00 	53	Y
30	1226+023 	9 	 	f	58	2005.879 	1.510 	  	7.13	230.9 	1.69 	1.00 	53	Y
31	1226+023 	9 	 	f	58	2006.186 	1.323 	  	7.42	230.1 	1.68 	1.00 	53	Y
