3	1226+023	21 	 	f	26	2001.995 	1.615 	  	3.02	235.3 	0.85 	1.00 	22	Y
4	1226+023	21 	 	f	26	2002.252 	1.653 	  	3.39	233.6 	0.91 	1.00 	22	Y
5	1226+023	21 	 	f	26	2002.740 	1.035 	  	3.64	227.8 	  	  	22	Y
6	1226+023	21 	 	f	26	2002.773 	1.276 	  	3.75	227.8 	0.34 	1.00 	22	Y
7	1226+023	21 	 	f	26	2002.956 	2.054 	  	3.67	230.3 	0.73 	1.00 	22	Y
8	1226+023	21 	 	f	26	2003.162 	1.347 	  	3.71	228.8 	0.64 	1.00 	53	Y
9	1226+023	21 	 	f	26	2003.342 	1.695 	  	3.77	231.0 	0.84 	1.00 	53	Y
10	1226+023	21 	 	f	26	2003.501 	1.545 	  	3.83	233.4 	0.98 	1.00 	53	Y
11	1226+023	21 	 	f	26	2003.507 	1.382 	  	3.79	232.8 	0.91 	1.00 	53	Y
12	1226+023	21 	 	f	26	2003.526 	0.957 	  	3.75	233.3 	0.78 	1.00 	53	Y
13	1226+023	21 	 	f	26	2003.658 	1.227 	  	3.89	234.5 	0.97 	1.00 	53	Y
14	1226+023	21 	 	f	26	2003.685 	1.307 	  	3.85	235.5 	1.05 	1.00 	53	Y
15	1226+023	21 	 	f	26	2003.896 	1.193 	  	4.12	235.3 	1.20 	1.00 	53	Y
16	1226+023	21 	 	f	26	2004.447 	0.840 	  	4.36	236.9 	1.28 	1.00 	53	Y
17	1226+023	21 	 	f	26	2004.699 	0.777 	  	4.70	235.8 	1.31 	1.00 	53	Y
18	1226+023	21 	 	f	26	2004.923 	0.624 	  	4.55	237.5 	1.26 	1.00 	53	Y
19	1226+023	21 	 	f	26	2005.381 	0.271 	  	4.83	239.5 	0.47 	1.00 	53	Y
20	1226+023	21 	 	f	26	2005.710 	0.403 	  	5.05	242.2 	1.17 	1.00 	53	Y
21	1226+023	21 	 	f	26	2005.879 	0.357 	  	5.07	238.2 	0.96 	1.00 	53	Y
22	1226+023	21 	 	f	26	2006.186 	0.336 	  	5.21	241.8 	1.03 	1.00 	53	Y
23	1226+023	21 	 	f	26	2006.455 	0.361 	  	5.45	241.0 	1.44 	1.00 	53	Y
24	1226+023	21 	 	f	26	2006.474 	0.471 	  	5.39	240.7 	1.57 	1.00 	53	Y
25	1226+023	21 	 	f	26	2006.674 	0.421 	  	5.43	242.1 	1.40 	1.00 	53	Y
26	1226+023	21 	 	f	26	2006.923 	0.441 	  	5.60	240.2 	1.81 	1.00 	53	Y
